"name","position","nationality","team","team_url","school","school_url"
"Josh Richardson","SG","United States","Miami Heat","https://en.wikipedia.org/wiki/Miami_Heat","Tennessee","https://en.wikipedia.org/wiki/Tennessee_Volunteers_basketball"
"Pat Connaughton","SF","United States","Brooklyn Nets","https://en.wikipedia.org/wiki/Brooklyn_Nets","Notre Dame","https://en.wikipedia.org/wiki/Notre_Dame_Fighting_Irish_men%27s_basketball"
"Olivier Hanlan","PG","Canada","Utah Jazz","https://en.wikipedia.org/wiki/Utah_Jazz","Boston College","https://en.wikipedia.org/wiki/Boston_College_Eagles_men%27s_basketball"
"Joseph Young","PG","United States","Indiana Pacers","https://en.wikipedia.org/wiki/Indiana_Pacers","Oregon","https://en.wikipedia.org/wiki/Oregon_Ducks_men%27s_basketball"
"Andrew Harrison","PG","United States","Phoenix Suns","https://en.wikipedia.org/wiki/Phoenix_Suns","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"Marcus Thornton","PG","United States","Boston Celtics","https://en.wikipedia.org/wiki/Boston_Celtics","William & Mary","https://en.wikipedia.org/wiki/William_%26_Mary_Tribe_men%27s_basketball"
"Norman Powell","SG","United States","Milwaukee Bucks","https://en.wikipedia.org/wiki/Milwaukee_Bucks","UCLA","https://en.wikipedia.org/wiki/UCLA_Bruins_men%27s_basketball"
"Artūras Gudaitis","C","Lithuania","Philadelphia 76ers","https://en.wikipedia.org/wiki/Philadelphia_76ers","Žalgiris Kaunas","https://en.wikipedia.org/wiki/BC_%C5%BDalgiris"
"Dakari Johnson","C","United States","Oklahoma City Thunder","https://en.wikipedia.org/wiki/Oklahoma_City_Thunder","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"Aaron White","PF","United States","Washington Wizards","https://en.wikipedia.org/wiki/Washington_Wizards","Iowa","https://en.wikipedia.org/wiki/Iowa_Hawkeyes_men%27s_basketball"
"Marcus Eriksson","SG","Sweden","Atlanta Hawks","https://en.wikipedia.org/wiki/Atlanta_Hawks","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona_B%C3%A0squet"
"Tyler Harvey","PG","United States","Orlando Magic","https://en.wikipedia.org/wiki/Orlando_Magic","Eastern Washington","https://en.wikipedia.org/wiki/Eastern_Washington_Eagles_men%27s_basketball"
"Satnam Singh Bhamara","C","India","Dallas Mavericks","https://en.wikipedia.org/wiki/Dallas_Mavericks","IMG Academy","https://en.wikipedia.org/wiki/IMG_Academies"
"Sir'Dominic Pointer","SF","United States","Cleveland Cavaliers","https://en.wikipedia.org/wiki/Cleveland_Cavaliers","St. John's","https://en.wikipedia.org/wiki/St._John%27s_Red_Storm_men%27s_basketball"
"Dani Díez","SF","Spain","Utah Jazz","https://en.wikipedia.org/wiki/Utah_Jazz","Gipuzkoa Basket","https://en.wikipedia.org/wiki/San_Sebasti%C3%A1n_Gipuzkoa_BC"
"Cady Lalanne","PF","Haiti","San Antonio Spurs","https://en.wikipedia.org/wiki/San_Antonio_Spurs","Massachusetts","https://en.wikipedia.org/wiki/UMass_Minutemen_basketball"
"Branden Dawson","SF","United States","New Orleans Pelicans","https://en.wikipedia.org/wiki/New_Orleans_Pelicans","Michigan State","https://en.wikipedia.org/wiki/Michigan_State_Spartans_men%27s_basketball"
"Nikola Radičević","PG","Serbia","Denver Nuggets","https://en.wikipedia.org/wiki/Denver_Nuggets","Baloncesto Sevilla","https://en.wikipedia.org/wiki/CB_Sevilla"
"J. P. Tokoto","SG/SF","United States","Philadelphia 76ers","https://en.wikipedia.org/wiki/Philadelphia_76ers","North Carolina","https://en.wikipedia.org/wiki/North_Carolina_Tar_Heels_men%27s_basketball"
"Dimitrios Agravanis","PF","Greece","Atlanta Hawks","https://en.wikipedia.org/wiki/Atlanta_Hawks","Olympiacos","https://en.wikipedia.org/wiki/Olympiacos_B.C."
"Luka Mitrović","PF","Serbia","Philadelphia 76ers","https://en.wikipedia.org/wiki/Philadelphia_76ers","Red Star Belgrade","https://en.wikipedia.org/wiki/KK_Crvena_zvezda"
